train/epoch,_step,train/grad_norm,train/reward_std,train/rewards/format_reward,_timestamp,train/reward,train/completion_length,train/temporal_rewards,train/loss,train/step_compute_time_sec,train/rewards/accuracy_reward,train/global_step,_runtime,train/kl,train/all_correct,train/learning_rate,train/cuda_max_memory_allocated_gb,train/all_wrong
0.000364963503649635,0,7.630396851591872,0.5757834315299988,1.0,1776482335.6443243,1.5750000476837158,186.83334350585938,0.3333333432674408,0.0,75.87569376104511,0.5,1,84.219291569,0.0005549900233745575,0.0,1e-06,60.0856409072876,0.0
0.00072992700729927,1,5.343745264918638,0.4668518006801605,1.0,1776482408.3357162,1.5416667461395264,261.16668701171875,0.6666666865348816,0.0,64.57878183200955,0.4166666865348816,2,156.910474831,0.000494194682687521,0.0,9.999383162408303e-07,81.45654249191284,0.3333333333333333
0.0010948905109489052,2,3.005308555900885,0.5,1.0,1776482486.89718,1.4166667461395264,307.25,0.0,0.0,70.41496607405134,0.4166666865348816,3,235.471864024,0.0005105839227326214,0.0,9.997532801828658e-07,82.1386170387268,0.0
0.00145985401459854,3,2.8941025423427185,0.21666666865348816,1.0,1776482559.9971616,1.9750001430511475,248.5,1.0,0.0,64.99332292703912,0.75,4,308.571937941,0.0005273902788758278,0.6666666666666666,9.99444937480985e-07,81.47095584869385,0.0
0.0018248175182481751,4,2.731419493602911,0.2500000298023224,1.0,1776482633.9794908,1.9916666746139526,268.0833435058594,1.0,0.0,65.81354229198769,0.75,5,382.554165086,0.0006828710320405662,0.6666666666666666,9.990133642141357e-07,81.7773060798645,0.0
0.0021897810218978104,5,3.5018516238719077,0.18053418397903442,1.0,1776482710.720424,2.133333206176758,270.0,0.6666666865348816,0.0,68.62107862904668,0.9166666865348816,6,459.295059501,0.0007486735703423619,0.6666666666666666,9.98458666866564e-07,80.89461421966553,0.0
0.0025547445255474453,6,0.019694842549600338,0.0,1.0,1776482780.824711,1.433333396911621,211.1666717529297,0.6666666865348816,0.0,61.984055534005165,0.3333333432674408,7,529.399345629,0.0008243607589974999,0.3333333333333333,9.9778098230154e-07,80.9996509552002,0.6666666666666666
0.00291970802919708,7,3.677665193204508,0.6132689714431763,1.0,1776482856.7834377,1.9166667461395264,259.41668701171875,0.6666666865348816,0.0,67.8400220379699,0.75,8,605.358122084,0.0009269497240893543,0.0,9.969804777275898e-07,81.2424635887146,0.0
0.0032846715328467154,8,2.0483785784856665,0.18053418397903442,1.0,1776482931.651186,2.133333206176758,255.83334350585938,0.6666666865348816,0.0,66.7395477569662,0.9166666865348816,9,680.225803636,0.0007034377194941044,0.6666666666666666,9.960573506572389e-07,81.25793600082397,0.0
0.0036496350364963502,9,3.5214803015872658,0.5742805600166321,1.0,1776483009.0412238,1.691666603088379,261.41668701171875,0.3333333432674408,0.0,69.25059850909747,0.5833333730697632,10,757.615989731,0.0011905853170901537,0.0,9.950118288582787e-07,81.04890060424805,0.0
