train/causal_eval_ratio,train/rewards/format_reward,train/cuda_max_memory_allocated_gb,_step,train/all_wrong,train/completion_length,train/temporal_rewards,train/reward,_runtime,train/kl,train/causal_reward_std,train/step_compute_time_sec,train/causal_reward_mean,train/loss,train/grad_norm,train/all_correct,train/learning_rate,train/epoch,train/rewards/accuracy_reward,train/causal_reward_max,_timestamp,train/reward_std,train/global_step
0.25,1.0,60.150710582733154,0,0.0,186.83334350585938,0.3333333432674408,2.438281536102295,88.106879975,0.0005549900233745575,3.25,79.58273250400089,1.625,0.0,7.574877903457932,0.0,1e-06,0.000364963503649635,0.5,6.5,1776498508.8161275,1.7908570766448975,1
0.5,1.0,84.6827130317688,1,0.3333333333333333,257.25,0.6666666865348816,2.4097657203674316,163.545169768,0.0005740750348195434,3.488075017929077,68.613934335066,3.0,0.0,4.971914697590804,0.3333333333333333,9.999383162408303e-07,0.00072992700729927,0.5,6.5,1776498584.2545977,1.0344340801239014,2
0.0,1.0,85.34777641296387,2,0.3333333333333333,299.41668701171875,0.3333333432674408,1.9216554164886475,241.062583721,0.0005625194171443582,0.0,71.03064048103988,0.0,0.0,2.623791359910885,0.3333333333333333,9.997532801828658e-07,0.0010948905109489052,0.4166666865348816,0.0,1776498661.7721124,0.7082962989807129,3
1.0,1.0,85.34137964248657,3,0.3333333333333333,269.8333435058594,1.0,2.4111034870147705,319.401717055,0.0004923496162518859,2.384559392929077,71.81861550803296,2.761932373046875,0.0,2.2759583214949934,0.3333333333333333,9.99444937480985e-07,0.00145985401459854,0.5833333730697632,5.0,1776498740.1111228,0.7605259418487549,4
0.25,1.0,85.24956607818604,4,0.0,257.41668701171875,0.3333333432674408,2.8984375,396.16545459,0.0005949890473857522,1.5,70.27730647311546,0.75,0.0,3.9423058624874225,0.0,9.990133642141357e-07,0.0018248175182481751,0.5,3.0,1776498816.8749435,2.270336627960205,5
1.0,1.0,84.20025300979614,5,0.0,242.08334350585938,0.6666666865348816,3.7715365886688232,469.7606178,0.0006924529443494976,1.0650273561477661,67.11693763593212,1.100311279296875,0.0,3.637865954763409,0.3333333333333333,9.98458666866564e-07,0.0021897810218978104,0.8333333730697632,2.015625,1776498890.4701247,1.6274861097335815,6
1.0,1.0,84.53901386260986,6,0.0,225.5,0.3333333432674408,3.5023438930511475,539.893867421,0.0009025169420056045,3.9562528133392334,63.66692427895032,5.0390625,0.0,4.44370063259072,0.3333333333333333,9.9778098230154e-07,0.0025547445255474453,0.6666666865348816,9.5,1776498960.603408,2.151794910430908,7
0.75,1.0,84.92097473144531,7,0.0,251.58334350585938,0.6666666865348816,3.427734375,616.4254935,0.0008432092145085335,2.409832239151001,70.08138740179129,3.1875,0.0,3.363747497187081,0.0,9.969804777275898e-07,0.00291970802919708,0.6666666865348816,5.5,1776499037.13504,2.069749355316162,8
1.0,1.0,84.71574544906616,8,0.0,250.4166717529297,1.0,3.90625,691.87907021,0.0007973527535796165,1.0873323678970337,68.96326989121735,4.5625,0.0,3.966953670474006,1.0,9.960573506572389e-07,0.0032846715328467154,1.0,5.5,1776499112.5885353,0.8351188898086548,9
1.0,1.0,84.52410745620728,9,0.0,275.25,0.3333333432674408,3.4964845180511475,772.913746682,0.001025838078930974,1.8874585628509521,74.51491152285598,8.375,0.0,3.35980844519696,0.3333333333333333,9.950118288582787e-07,0.0036496350364963502,0.5,10.0,1776499193.6231792,1.6492118835449219,10
